1	11	282	3
Cac03
Tmac03
Tmac06
Cac13
Cac14
Cac18
Cyne20
Soc418
Soc423
Soc554
Soc609
1	176176	162162	134136	174178	170170	237245	270270	246251	166166	188192	255259
1	178178	156166	134134	184190	164168	237247	266270	250250	166166	182202	251255
1	176194	162162	134136	180186	164168	237241	270270	250251	166166	192194	255255
1	178190	149166	134134	192216	166168	241249	270270	250251	168168	192213	255257
1	174190	143147	136136	184192	164170	241249	266270	250251	166168	192192	255259
1	174188	158166	134134	176186	166168	251251	266270	251251	166168	182190	255255
1	176178	153164	134134	170186	154166	237247	270274	251252	166166	192211	255255
1	186188	137164	134134	184184	150164	239247	270270	250251	166166	190192	255255
1	174178	153156	134136	182220	154156	239241	274274	250251	166166	192192	253261
1	176178	141158	134134	170180	156168	237251	270270	250251	166166	194194	257261
1	174174	164166	134136	192228	166172	237247	264270	250250	166166	192196	255255
1	178180	158162	134136	190192	168168	247247	262270	251251	166168	186192	251261
1	174176	156160	134136	172192	144152	237251	270270	250251	166168	213223	255257
1	174178	145160	134134	184220	166168	249251	270270	250251	166166	184200	249261
1	174180	147164	134134	180194	166180	237241	270270	250250	166166	192192	255257
1	176190	158160	134136	192210	164166	241241	270270	250251	166168	192192	251255
1	174200	145156	134134	180202	166168	237237	270274	250252	166166	194194	255261
1	178178	158166	136136	184186	164166	249251	270270	251251	166166	192200	249255
1	184190	149160	134134	170186	130168	241251	270270	246252	166166	194198	265267
1	176188	156160	134134	190196	168168	237265	262270	250250	166166	190217	255261
1	176182	147166	134136	180192	168168	241263	262270	251251	166168	192198	249257
1	174176	149156	134136	180180	156168	237249	262270	250250	166168	182190	255257
1	176182	156158	134136	186188	162170	237239	270270	250251	166166	192217	255257
1	174176	156158	134134	180186	156166	237255	270274	250251	166168	186192	249255
1	174178	155156	136142	184196	166176	241249	270274	250250	166166	207207	249249
1	176188	156156	134136	182186	166166	237243	270270	250250	166166	200202	255267
1	178188	145151	134134	184186	152152	237247	270270	251252	166166	192209	253267
1	178188	155160	134134	180180	164168	251251	270270	250251	166166	207207	255255
1	176190	151153	136136	184220	152166	241245	262270	250250	166166	184196	255257
1	178184	145160	134138	192192	166168	237241	270274	252252	166168	192200	253257
1	176192	160172	134134	184190	160160	241247	270270	250251	166166	190190	253253
1	194198	155158	132134	176186	168170	237249	270270	250250	166168	192192	255259
1	172176	160162	134134	186202	166166	243247	270270	250250	166168	192192	251255
1	176192	145164	134134	180220	166166	237241	266270	246250	166168	192198	261265
1	180190	151162	134136	180186	166170	239243	270270	246251	166166	190192	255257
1	176186	145149	134136	180192	166166	237237	270270	251252	166166	190196	253259
1	174192	156156	134134	186192	154170	247259	266274	250251	166166	192192	255265
1	178184	149160	134134	168210	150156	237241	270270	250250	166168	194217	255257
1	178188	158158	134134	180210	154168	239241	270274	250250	166166	192192	257261
1	192192	151166	134136	192206	154166	241249	270270	250252	166168	194194	241259
1	174178	153162	134138	172194	166166	237237	270270	250252	166166	180180	255257
1	174178	160166	134134	180190	152170	241247	270270	242251	166166	190192	255257
1	174192	149155	134134	192208	166166	237239	270270	250252	166166	192192	255257
1	168176	156160	134136	192212	166172	237241	262270	250252	166166	188192	253255
1	174174	145158	134134	184196	172172	241247	270274	251251	166166	192192	255255
1	178182	135156	134136	168186	152166	249249	262270	250250	168168	192192	253255
1	172176	156156	134134	180182	166166	241249	266270	246251	166168	194198	261261
1	172180	151153	134134	184184	166166	237241	270270	250251	166168	192196	253255
1	192200	162166	134134	180194	164166	237255	270270	250252	166166	192213	257257
1	178196	135149	134136	184192	152168	237237	270270	250252	166166	192192	255261
1	174198	153160	134138	180180	166168	237243	270270	250250	166168	190192	257261
1	174176	160160	134134	192208	156166	241247	270270	250250	166166	182192	253255
1	176186	160170	132136	192192	166168	237247	270270	250254	166166	192192	255255
1	176184	155156	134136	172214	166184	241247	270270	250251	166168	190200	259261
1	178204	160170	130134	180186	168168	241251	270270	250251	166166	182192	253261
1	168176	162164	134136	180184	166174	237249	270270	250252	166168	192194	255259
1	174178	158168	134136	178214	164166	237251	270274	250252	166168	192194	255255
1	176178	160160	136138	158186	158166	241247	266270	250251	166168	192192	253257
1	176178	155164	134134	186198	162162	243251	270270	250250	166168	192196	255255
1	178200	153174	134136	192192	164168	237241	270270	251252	168168	188192	255257
1	174176	158162	136136	172184	166168	245251	270270	250250	166166	186190	255255
1	182192	151156	134134	170172	166166	241251	266270	251251	166166	192192	255261
1	168176	145155	134134	170184	166168	249251	270270	250251	166166	192209	255261
1	176178	149149	134134	190204	168170	237237	270270	250250	166166	192223	255257
1	178192	158160	136136	180188	158166	237247	270270	251252	168168	188190	259261
1	178192	155160	134136	172184	158164	237249	270270	251251	166168	192221	255257
1	168176	145155	134136	168178	130168	249249	270270	250252	166166	184200	257257
1	176178	156156	134136	186192	166166	241249	270274	250250	166166	217217	255257
1	174176	155158	134134	172204	154166	241251	266270	250251	166168	192196	255259
1	190192	143156	134134	178192	164164	237247	270270	250251	166166	192194	257261
1	188190	156176	134136	168184	166168	237247	262270	250250	166166	196200	253255
1	174176	156176	134136	186212	156166	247255	270270	250251	166166	192192	255261
1	174174	156160	134134	190190	164170	239251	270270	250250	166168	192196	249257
1	172182	151153	134138	180198	164166	237249	266270	246250	166168	192192	255255
1	174176	149160	134136	184186	164166	249251	266270	251252	166166	184211	255257
1	178188	160162	134138	176186	152166	237243	270270	250252	166168	192192	249253
1	178178	160170	134134	186192	166168	237255	270274	251251	166166	192196	253257
1	176178	156168	132134	186186	168168	245251	270270	242250	166168	192194	255255
1	174184	162162	134134	184184	166166	237237	270270	252252	166166	188192	251257
1	178178	155160	134136	184216	164164	245247	266270	251252	166166	184192	259259
1	184194	162164	134136	196214	164180	241241	270274	251251	166166	194215	255257
1	176178	160170	134134	172212	162162	241241	270270	252254	166166	192200	257261
1	176176	156168	134134	192230	162166	243251	270270	250251	166166	178178	255257
1	172180	155170	134136	184220	156166	241243	270270	251252	166166	188188	257259
1	178190	158158	134134	186192	162166	241255	270270	251251	166168	192198	255263
1	176190	155156	132134	176224	160166	241241	270270	251252	168168	196200	259265
1	174180	158174	134134	192208	166172	241251	270270	250251	166168	196198	255255
1	174176	156160	134134	200216	158162	249249	270270	251252	166166	180180	255261
1	176178	156164	134134	180184	166168	249249	266270	251252	166168	188192	255257
1	176190	143143	134136	172194	160164	241249	266270	250251	166166	194198	249257
1	174174	162162	134134	184214	156162	247251	274274	250252	166166	188200	249255
1	176186	156160	134134	180194	166168	241255	270270	250251	166168	192196	255257
1	172176	147153	134134	172172	154168	237237	270270	250252	166168	192192	257261
1	178192	151162	134136	174186	166168	237249	262270	250252	166166	192200	255255
1	178178	149168	134136	178178	162170	237239	270270	251251	166168	182196	255257
1	178198	156164	132134	176192	156168	237255	262270	250251	166168	184184	251267
1	174174	156162	134136	184184	152168	241251	242270	246251	166168	192213	255257
1	174188	156158	134136	176184	130152	245249	262270	250251	166166	198202	249259
1	174196	156160	134136	170192	164180	237241	270270	250251	166166	190194	253257
